"table_schema","table_name","column_name","data_type","character_maximum_length","column_default","is_nullable"
"public","application_details","brokerid","bigint",NULL,NULL,"YES"
"public","application_details","underwritingid","bigint",NULL,NULL,"YES"
"public","application_details","datecreated","timestamp with time zone",NULL,NULL,"YES"
"public","application_details","applicationid","integer",NULL,"nextval('application_details_applicationid_seq'::regclass)","NO"
"public","application_details","statusid","bigint",NULL,NULL,"YES"
"public","application_details","manualuwid","bigint",NULL,NULL,"YES"
"public","application_roles","applicationid","bigint",NULL,NULL,"YES"
"public","application_roles","personid","bigint",NULL,NULL,"YES"
"public","application_roles","roleid","bigint",NULL,NULL,"YES"
"public","application_roles","applicationroleid","integer",NULL,"nextval('application_roles_applicationroleid_seq'::regclass)","NO"
"public","applicationpremium","premiumid","bigint",NULL,NULL,"NO"
"public","applicationpremium","sum_c_death","numeric",NULL,NULL,"YES"
"public","applicationpremium","sum_d_death","numeric",NULL,NULL,"YES"
"public","applicationpremium","sum_d_death_adj","numeric",NULL,NULL,"YES"
"public","applicationpremium","sum_comms_d_death","numeric",NULL,NULL,"YES"
"public","applicationpremium","sum_clawback_lx","numeric",NULL,NULL,"YES"
"public","applicationpremium","commission_structure","bigint",NULL,NULL,"YES"
"public","applicationpremium","premium_schedule","character varying",NULL,NULL,"YES"
"public","applicationpremium","commission_schedule","character varying",NULL,NULL,"YES"
"public","applicationpremium","calculation_link","character varying",NULL,NULL,"YES"
"public","applicationpremium","initial_premium","bigint",NULL,NULL,"YES"
"public","applicationpremium","applicationid","character varying",NULL,NULL,"YES"
"public","applicationpremium","datecalculated","timestamp without time zone",NULL,NULL,"YES"
"public","assumptions","assumptionsid","character varying",100,NULL,"NO"
"public","assumptions","discount_rate","numeric",NULL,NULL,"YES"
"public","assumptions","premium_escalation","numeric",NULL,NULL,"YES"
"public","assumptions","commission","numeric",NULL,NULL,"YES"
"public","assumptions","interest","numeric",NULL,NULL,"YES"
"public","assumptions","expenses","numeric",NULL,NULL,"YES"
"public","assumptions","capital_loading","numeric",NULL,NULL,"YES"
"public","assumptions","marketing_fees","numeric",NULL,NULL,"YES"
"public","assumptions","date_start","date",NULL,NULL,"YES"
"public","assumptions","date_end","date",NULL,NULL,"YES"
"public","assumptions","pc_mult","numeric",NULL,NULL,"YES"
"public","assumptions","sc_mult","numeric",NULL,NULL,"YES"
"public","assumptions","vat","numeric",NULL,NULL,"YES"
"public","assumptions","max_applicant_age","bigint",NULL,NULL,"YES"
"public","assumptions","max_insured_age","bigint",NULL,NULL,"YES"
"public","assumptions","admin_fee","bigint",NULL,NULL,"YES"
"public","education_sec","educationsecid","bigint",NULL,NULL,"NO"
"public","education_sec","highest_education","character varying",NULL,NULL,"YES"
"public","education_sec","5","bigint",NULL,NULL,"YES"
"public","education_sec","4","bigint",NULL,NULL,"YES"
"public","education_sec","3","bigint",NULL,NULL,"YES"
"public","education_sec","2","bigint",NULL,NULL,"YES"
"public","education_sec","1","bigint",NULL,NULL,"YES"
"public","lapse_rates","lapseid","bigint",NULL,NULL,"NO"
"public","lapse_rates","month","character varying",NULL,NULL,"YES"
"public","lapse_rates","rate","numeric",NULL,NULL,"YES"
"public","magnumadjustments","adjustmentid","integer",NULL,"nextval('magnumadjustments_adjustmentid_seq'::regclass)","NO"
"public","magnumadjustments","magnumid","bigint",NULL,NULL,"YES"
"public","magnumadjustments","adjustment","jsonb",NULL,NULL,"YES"
"public","magnumdata","magnumid","integer",NULL,"nextval('magnumdata_magnumid_seq'::regclass)","NO"
"public","magnumdata","caseid","character varying",NULL,NULL,"YES"
"public","magnumdata","datecreated","timestamp with time zone",NULL,NULL,"YES"
"public","magnumdata","decision","character varying",NULL,NULL,"YES"
"public","magnumdata","severity","bigint",NULL,NULL,"YES"
"public","magnumdata","smokingtable","character varying",NULL,NULL,"YES"
"public","magnumriskareas","riskareaid","integer",NULL,"nextval('riskareas_riskareaid_seq'::regclass)","NO"
"public","magnumriskareas","riskareas","jsonb",NULL,NULL,"YES"
"public","magnumriskareas","magnumid","bigint",NULL,NULL,"YES"
"public","manual_underwriting","manualuwid","integer",NULL,"nextval('manual_underwriting_manualuwid_seq'::regclass)","NO"
"public","manual_underwriting","decision","character varying",NULL,NULL,"YES"
"public","manual_underwriting","adjustments","jsonb",NULL,NULL,"YES"
"public","manual_underwriting","notes","character varying",NULL,NULL,"YES"
"public","manual_underwriting","exclusions","jsonb",NULL,NULL,"YES"
"public","mortality_rates","mortalityratesid","bigint",NULL,NULL,"NO"
"public","mortality_rates","age","bigint",NULL,NULL,"YES"
"public","mortality_rates","mn10","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn11","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn12","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn13","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn20","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn21","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn22","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn23","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn30","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn31","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn32","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn33","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn40","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn41","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn42","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn43","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn50","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn51","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn52","numeric",NULL,NULL,"YES"
"public","mortality_rates","mn53","numeric",NULL,NULL,"YES"
"public","mortality_rates","ms10","numeric",NULL,NULL,"YES"
"public","mortality_rates","ms11","numeric",NULL,NULL,"YES"
"public","mortality_rates","ms12","numeric",NULL,NULL,"YES"
